event_date,cart,purchase,return,view,total_revenue
2023-05-13,3,1,3,0,3399.0
2023-05-14,1,3,0,4,12997.0
2023-05-15,3,3,1,2,6498.0
2023-05-16,5,5,4,1,25894.0
2023-05-17,5,0,3,2,-6598.0
2023-05-18,0,2,2,1,11197.0
2023-05-19,1,6,4,5,22597.0
2023-05-20,1,3,5,3,-102.0
2023-05-21,1,1,5,3,-9999.0
2023-05-22,5,1,2,5,899.0
2023-05-23,3,4,5,5,2898.0
2023-05-24,2,2,2,3,12698.0
2023-05-25,5,0,8,4,-26197.0
2023-05-26,3,3,3,1,5999.0
2023-05-27,4,4,2,4,18196.0
2023-05-28,3,3,3,2,3799.0
2023-05-29,4,2,0,2,6998.0
2023-05-30,1,2,5,1,16997.0
2023-05-31,3,3,3,1,17597.0
2023-06-01,2,3,2,3,2299.0
2023-06-02,1,4,2,2,15296.0
2023-06-03,2,1,1,2,-3200.0
2023-06-04,2,2,3,1,-2600.0
2023-06-05,2,1,2,0,13398.0
2023-06-06,3,3,1,1,10697.0
2023-06-07,5,1,3,3,2200.0
2023-06-08,1,3,0,2,10697.0
2023-06-09,3,7,2,4,18693.0
2023-06-10,3,1,1,4,899.0
2023-06-11,3,1,2,3,-6999.0
2023-06-12,2,4,2,1,22995.0
2023-06-13,0,2,4,8,-5800.0
2023-06-14,3,2,1,2,5398.0
2023-06-15,5,7,2,3,24794.0
2023-06-16,2,0,4,1,7799.0
2023-06-17,3,3,7,3,2701.0
2023-06-18,4,1,4,2,-1899.0
2023-06-19,3,3,2,4,21298.0
2023-06-20,4,3,2,2,16797.0
2023-06-21,2,5,4,4,20796.0
2023-06-22,3,1,5,1,-1200.0
2023-06-23,3,6,1,0,31594.0
2023-06-24,1,4,5,2,15296.0
2023-06-25,2,4,1,1,12396.0
2023-06-26,3,1,5,3,8099.0
2023-06-27,1,2,2,3,2399.0
2023-06-28,3,2,2,3,1299.0
2023-06-29,5,0,1,2,9999.0
2023-06-30,4,3,1,4,15397.0
2023-07-01,3,2,1,6,19998.0
2023-07-02,3,2,0,6,8698.0
2023-07-03,4,1,0,1,9999.0
2023-07-04,3,0,4,3,2500.0
2023-07-05,4,4,5,4,31195.0
2023-07-06,1,6,8,3,43593.0
2023-07-07,3,1,2,2,-7600.0
2023-07-08,5,2,2,1,1999.0
2023-07-09,2,2,2,4,12398.0
2023-07-10,1,4,2,2,15497.0
2023-07-11,3,2,4,3,6598.0
2023-07-12,6,1,1,4,-2200.0
2023-07-13,5,3,2,0,13398.0
2023-07-14,6,1,3,3,5398.0
2023-07-15,3,1,2,0,5899.0
2023-07-16,3,3,2,3,22697.0
2023-07-17,1,3,8,4,-3699.0
2023-07-18,8,3,1,1,12097.0
2023-07-19,3,2,1,4,11198.0
2023-07-20,5,4,2,3,16996.0
2023-07-21,4,3,3,3,15898.0
2023-07-22,2,4,3,4,21996.0
2023-07-23,2,3,6,1,7799.0
2023-07-24,3,1,1,1,7799.0
2023-07-25,3,0,4,4,2399.0
2023-07-26,7,3,3,4,12997.0
2023-07-27,3,1,4,8,1400.0
2023-07-28,3,2,0,0,16398.0
2023-07-29,2,4,4,1,23397.0
2023-07-30,2,4,4,3,13197.0
2023-07-31,1,1,1,2,7799.0
2023-08-01,3,2,2,2,19797.0
2023-08-02,1,4,4,3,15596.0
2023-08-03,0,3,3,4,16897.0
2023-08-04,3,4,4,4,18197.0
2023-08-05,4,5,2,3,13896.0
2023-08-06,1,0,1,0,0.0
2023-08-07,1,3,4,3,-1502.0
2023-08-08,1,2,2,3,7799.0
2023-08-09,4,2,3,2,10098.0
2023-08-10,1,1,3,3,12798.0
2023-08-11,2,2,3,4,6498.0
2023-08-12,0,1,2,1,-2699.0
2023-08-13,4,3,2,2,-102.0
2023-08-14,1,3,5,1,12799.0
2023-08-15,4,3,3,4,5599.0
2023-08-16,3,2,1,4,9798.0
2023-08-17,2,3,2,3,8897.0
2023-08-18,7,2,0,0,8698.0
2023-08-19,3,3,4,5,16497.0
2023-08-20,3,1,3,2,1800.0
2023-08-21,2,3,4,1,12899.0
2023-08-22,2,2,5,2,13398.0
2023-08-23,3,2,2,3,16198.0
2023-08-24,3,2,3,5,11198.0
2023-08-25,3,1,4,5,15499.0
2023-08-26,5,1,4,5,9400.0
2023-08-27,3,0,2,5,4398.0
2023-08-28,1,4,1,3,1897.0
2023-08-29,2,3,2,2,13798.0
2023-08-30,4,4,3,5,18297.0
2023-08-31,0,2,1,2,14598.0
2023-09-01,3,3,3,3,4197.0
2023-09-02,1,1,4,2,4400.0
2023-09-03,2,1,3,7,7799.0
2023-09-04,3,1,4,2,4400.0
2023-09-05,2,5,3,2,21096.0
2023-09-06,2,2,4,2,199.0
2023-09-07,3,5,1,3,23395.0
2023-09-08,4,8,2,1,27892.0
2023-09-09,2,3,3,1,15898.0
2023-09-10,4,3,2,2,15797.0
2023-09-11,2,1,0,3,8099.0
2023-09-12,1,3,3,2,2399.0
2023-09-13,1,4,3,6,12196.0
2023-09-14,3,4,0,1,18896.0
2023-09-15,3,3,2,1,18098.0
2023-09-16,2,2,2,2,5498.0
2023-09-17,3,3,1,3,15397.0
2023-09-18,5,0,2,10,0.0
2023-09-19,2,3,2,1,8897.0
2023-09-20,4,1,3,4,11998.0
2023-09-21,0,4,2,2,8197.0
2023-09-22,1,3,4,5,9997.0
2023-09-23,1,3,2,2,4298.0
2023-09-24,4,2,3,2,4398.0
2023-09-25,0,3,4,2,15998.0
2023-09-26,1,6,3,1,29895.0
2023-09-27,3,2,0,2,13698.0
2023-09-28,3,2,6,4,-1301.0
2023-09-29,4,2,2,4,11198.0
2023-09-30,1,2,0,3,7998.0
2023-10-01,4,3,3,2,14898.0
2023-10-02,2,8,2,4,31492.0
2023-10-03,2,4,4,3,26697.0
2023-10-04,2,4,1,3,18796.0
2023-10-05,3,2,1,5,4799.0
2023-10-06,5,5,6,4,13096.0
2023-10-07,3,4,2,1,18295.0
2023-10-08,4,2,3,3,23598.0
2023-10-09,2,3,2,5,15097.0
2023-10-10,2,1,2,4,8099.0
2023-10-11,2,3,4,2,13299.0
2023-10-12,2,2,5,3,3400.0
2023-10-13,1,3,3,3,3298.0
2023-10-14,2,3,2,3,16797.0
2023-10-15,2,4,6,1,23198.0
2023-10-16,1,4,1,5,16996.0
2023-10-17,1,6,5,0,20197.0
2023-10-18,2,2,3,2,10898.0
2023-10-19,4,2,0,2,13398.0
2023-10-20,3,1,5,5,899.0
2023-10-21,3,3,3,3,12897.0
2023-10-22,1,1,7,2,899.0
2023-10-23,2,2,2,4,13798.0
2023-10-24,3,1,2,5,1999.0
2023-10-25,0,2,2,5,2898.0
2023-10-26,2,0,4,4,-8099.0
2023-10-27,3,4,3,7,20397.0
2023-10-28,2,5,3,4,25896.0
2023-10-29,4,3,4,3,15795.0
2023-10-30,1,3,3,6,5099.0
2023-10-31,6,2,3,2,7598.0
2023-11-01,1,3,3,5,15097.0
2023-11-02,2,1,4,2,-4000.0
2023-11-03,6,2,6,2,11397.0
2023-11-04,1,3,0,2,17997.0
2023-11-05,4,4,4,5,21696.0
2023-11-06,2,4,5,2,16297.0
2023-11-07,3,4,5,4,16296.0
2023-11-08,4,3,4,5,19296.0
2023-11-09,3,3,4,2,22397.0
2023-11-10,1,6,2,2,11996.0
2023-11-11,2,3,3,2,7497.0
2023-11-12,2,3,2,5,16598.0
2023-11-13,0,1,3,3,9999.0
2023-11-14,2,4,1,7,14897.0
2023-11-15,2,3,1,5,13497.0
2023-11-16,1,1,2,1,9999.0
2023-11-17,3,2,7,2,11598.0
2023-11-18,1,6,7,4,24795.0
2023-11-19,4,2,2,3,11198.0
2023-11-20,4,1,2,0,-8899.0
2023-11-21,4,1,6,2,6100.0
2023-11-22,2,4,2,7,17597.0
2023-11-23,1,3,2,1,5197.0
2023-11-24,4,5,6,0,22595.0
2023-11-25,3,1,2,5,5599.0
2023-11-26,3,0,4,0,-4798.0
2023-11-27,6,2,3,4,12398.0
2023-11-28,4,6,4,2,23693.0
2023-11-29,1,3,4,3,10799.0
2023-11-30,3,3,2,3,29096.0
2023-12-01,2,4,2,4,8997.0
2023-12-02,3,2,4,0,9199.0
2023-12-03,4,4,8,4,18696.0
2023-12-04,2,5,1,5,17495.0
2023-12-05,6,1,2,0,3399.0
2023-12-06,3,2,3,3,10498.0
2023-12-07,3,6,0,3,32094.0
2023-12-08,1,6,6,3,28595.0
2023-12-09,4,1,2,5,5800.0
2023-12-10,3,3,3,2,17897.0
2023-12-11,2,6,2,1,26294.0
2023-12-12,4,1,4,2,-3600.0
2023-12-13,5,3,1,4,4897.0
2023-12-14,4,1,6,4,7200.0
2023-12-15,4,3,1,2,14597.0
2023-12-16,5,2,3,5,-3501.0
2023-12-17,2,3,0,4,13297.0
2023-12-18,2,1,3,1,400.0
2023-12-19,3,4,2,3,16196.0
2023-12-20,3,2,1,4,15699.0
2023-12-21,3,1,2,1,5500.0
2023-12-22,0,1,6,1,1400.0
2023-12-23,1,3,2,3,17297.0
2023-12-24,4,7,2,2,9894.0
2023-12-25,2,0,2,3,5599.0
2023-12-26,3,3,2,2,5498.0
2023-12-27,1,7,3,3,27994.0
2023-12-28,3,3,1,7,12698.0
2023-12-29,1,1,1,1,899.0
2023-12-30,3,1,3,0,4599.0
2023-12-31,1,1,4,3,7099.0
2024-01-01,1,3,2,0,14598.0
2024-01-02,3,1,0,2,7799.0
2024-01-03,3,2,5,2,15596.0
2024-01-04,2,2,4,3,7399.0
2024-01-05,2,6,3,2,47793.0
2024-01-06,3,5,4,3,26295.0
2024-01-07,4,3,3,3,-2102.0
2024-01-08,3,3,5,3,-1.0
2024-01-09,3,1,5,4,5599.0
2024-01-10,2,2,1,1,16398.0
2024-01-11,5,0,4,2,3399.0
2024-01-12,4,4,7,1,10498.0
2024-01-13,1,2,2,2,11198.0
2024-01-14,2,3,2,2,9597.0
2024-01-15,3,1,3,4,1999.0
2024-01-16,5,1,5,3,6100.0
2024-01-17,1,4,2,2,5797.0
2024-01-18,3,1,2,4,899.0
2024-01-19,3,3,4,4,598.0
2024-01-20,1,2,3,2,13597.0
2024-01-21,1,3,3,1,8096.0
2024-01-22,3,1,2,1,-3700.0
2024-01-23,2,0,7,2,-8998.0
2024-01-24,2,6,5,1,47293.0
2024-01-25,4,0,3,2,3000.0
2024-01-26,2,3,3,2,19598.0
2024-01-27,1,3,1,3,6698.0
2024-01-28,0,3,2,2,16797.0
2024-01-29,2,2,3,3,8398.0
2024-01-30,3,5,5,2,25597.0
2024-01-31,2,0,4,4,-6799.0
2024-02-01,1,4,2,0,32795.0
2024-02-02,2,2,3,2,14399.0
2024-02-03,2,9,2,6,46092.0
2024-02-04,2,4,5,4,32596.0
2024-02-05,2,4,2,1,12897.0
2024-02-06,3,4,6,2,14397.0
2024-02-07,4,2,6,1,12300.0
2024-02-08,4,6,7,1,25396.0
2024-02-09,2,3,2,6,16897.0
2024-02-10,3,2,3,3,800.0
2024-02-11,4,4,3,3,16595.0
2024-02-12,2,5,2,4,11895.0
2024-02-13,2,1,1,1,-4400.0
2024-02-14,1,0,2,4,1999.0
2024-02-15,3,2,1,3,17798.0
2024-02-16,1,6,2,2,29495.0
2024-02-17,1,3,1,3,16497.0
2024-02-18,0,6,3,4,25294.0
2024-02-19,1,2,2,3,8999.0
2024-02-20,3,4,3,3,22397.0
2024-02-21,0,2,3,5,8698.0
2024-02-22,2,4,4,5,13796.0
2024-02-23,0,2,2,3,5599.0
2024-02-24,2,4,0,4,22596.0
2024-02-25,3,2,5,4,99.0
2024-02-26,1,3,4,5,12597.0
2024-02-27,4,3,4,4,8897.0
2024-02-28,3,3,4,3,14597.0
2024-02-29,2,4,3,4,17696.0
2024-03-01,2,1,3,0,-4499.0
2024-03-02,4,4,4,3,41193.0
2024-03-03,1,4,2,4,5697.0
2024-03-04,1,2,5,1,18198.0
2024-03-05,2,3,1,2,12597.0
2024-03-06,2,2,3,2,14198.0
2024-03-07,1,1,2,3,7799.0
2024-03-08,4,4,3,3,4898.0
2024-03-09,6,3,1,0,-802.0
2024-03-10,6,2,9,2,-16598.0
2024-03-11,1,2,2,1,-1301.0
2024-03-12,0,1,5,3,-99.0
2024-03-13,2,3,6,1,-4999.0
2024-03-14,5,5,1,2,31496.0
2024-03-15,2,1,3,1,3399.0
2024-03-16,3,4,1,1,26596.0
2024-03-17,0,3,4,1,15398.0
2024-03-18,1,0,5,3,0.0
2024-03-19,8,5,5,2,26695.0
2024-03-20,2,2,1,2,6798.0
2024-03-21,4,2,0,1,10898.0
2024-03-22,2,4,0,1,25796.0
2024-03-23,4,5,5,3,17196.0
2024-03-24,1,1,3,3,6399.0
2024-03-25,3,2,5,1,13398.0
2024-03-26,0,1,2,5,1999.0
2024-03-27,1,2,0,4,13398.0
2024-03-28,4,2,3,2,10299.0
2024-03-29,1,3,2,3,8198.0
2024-03-30,1,5,2,1,14896.0
2024-03-31,2,0,3,7,-7799.0
2024-04-01,6,1,3,1,-199.0
2024-04-02,2,1,1,0,2399.0
2024-04-03,4,1,2,1,6900.0
2024-04-04,4,2,2,2,11198.0
2024-04-05,1,5,2,3,23696.0
2024-04-06,4,2,4,1,-3600.0
2024-04-07,2,2,2,5,-1300.0
2024-04-08,3,1,2,5,6399.0
2024-04-09,1,1,2,4,1101.0
2024-04-10,2,1,2,6,14198.0
2024-04-11,3,2,5,2,15198.0
2024-04-12,1,1,2,2,-4400.0
2024-04-13,0,1,2,2,3000.0
2024-04-14,2,1,4,2,-3200.0
2024-04-15,7,5,2,3,28794.0
2024-04-16,4,2,3,2,-1500.0
2024-04-17,2,2,3,7,10098.0
2024-04-18,2,2,0,1,7298.0
2024-04-19,2,2,1,2,7499.0
2024-04-20,6,3,0,3,15397.0
2024-04-21,4,3,1,4,6298.0
2024-04-22,2,1,3,0,7799.0
2024-04-23,5,0,7,3,-6099.0
2024-04-24,4,3,3,1,7699.0
2024-04-25,6,2,1,0,8398.0
2024-04-26,8,4,1,4,17196.0
2024-04-27,3,6,3,5,20696.0
2024-04-28,1,5,2,3,30496.0
2024-04-29,2,2,4,1,599.0
2024-04-30,4,3,3,1,19198.0
2024-05-01,2,2,3,2,13398.0
2024-05-02,0,7,2,3,24194.0
2024-05-03,3,2,3,1,16398.0
2024-05-04,4,3,1,1,20097.0
2024-05-05,3,2,5,3,9599.0
2024-05-06,3,1,5,2,4099.0
2024-05-07,5,3,4,3,6598.0
2024-05-08,3,4,2,0,27797.0
2024-05-09,6,5,3,6,20294.0
2024-05-10,2,3,3,2,27196.0
2024-05-11,5,2,1,0,7699.0
2024-05-12,1,1,2,0,-1000.0
2024-05-13,2,1,3,3,1999.0
2024-05-14,4,4,2,5,21096.0
2024-05-15,1,2,5,2,22696.0
2024-05-16,6,4,4,2,15198.0
2024-05-17,6,1,4,2,12300.0
2024-05-18,1,4,2,2,11497.0
2024-05-19,1,1,2,3,-6100.0
2024-05-20,2,2,3,2,-1201.0
2024-05-21,6,3,3,4,15597.0
2024-05-22,2,5,2,2,18495.0
2024-05-23,2,3,2,1,4398.0
2024-05-24,0,3,1,5,12397.0
2024-05-25,4,5,4,3,24195.0
2024-05-26,1,3,2,4,26196.0
2024-05-27,3,4,4,1,16898.0
2024-05-28,1,0,5,0,2600.0
2024-05-29,2,5,2,3,29995.0
2024-05-30,2,4,5,1,22696.0
2024-05-31,2,1,4,5,5398.0
2024-06-01,5,5,0,4,17495.0
2024-06-02,4,2,6,1,-5400.0
2024-06-03,4,1,1,1,3399.0
2024-06-04,5,1,3,1,1798.0
2024-06-05,7,2,5,2,1399.0
2024-06-06,3,0,6,2,-11998.0
2024-06-07,1,5,1,1,34094.0
2024-06-08,2,3,2,2,12197.0
2024-06-09,3,2,1,3,7998.0
2024-06-10,3,3,6,2,14797.0
2024-06-11,3,0,2,1,-5599.0
2024-06-12,1,6,3,2,36594.0
2024-06-13,2,2,0,4,11498.0
2024-06-14,1,0,4,0,-5798.0
2024-06-15,1,8,7,4,52893.0
2024-06-16,3,3,1,1,9698.0
2024-06-17,1,1,3,3,1700.0
2024-06-18,5,5,1,4,25195.0
2024-06-19,1,0,3,4,0.0
2024-06-20,3,4,3,2,25195.0
2024-06-21,2,4,2,6,20396.0
2024-06-22,4,2,3,6,2399.0
2024-06-23,2,1,5,0,-4899.0
2024-06-24,0,3,4,5,20497.0
2024-06-25,2,2,1,3,14498.0
2024-06-26,3,2,1,0,7998.0
2024-06-27,1,2,2,4,-3401.0
2024-06-28,3,2,5,1,9299.0
2024-06-29,3,2,4,2,3099.0
2024-06-30,3,4,2,3,12296.0
2024-07-01,5,2,3,0,5800.0
2024-07-02,3,2,6,1,-15698.0
2024-07-03,0,3,7,2,14398.0
2024-07-04,3,3,4,3,8599.0
2024-07-05,5,3,5,2,15397.0
2024-07-06,6,1,2,1,7799.0
2024-07-07,3,1,0,1,6399.0
2024-07-08,4,3,4,0,12098.0
2024-07-09,3,1,4,5,7499.0
2024-07-10,3,1,3,3,6100.0
2024-07-11,1,1,2,2,9999.0
2024-07-12,1,4,3,3,10196.0
2024-07-13,5,3,5,2,14597.0
2024-07-14,3,2,3,3,-501.0
2024-07-15,4,0,2,4,0.0
2024-07-16,2,2,2,1,10498.0
2024-07-17,1,3,2,3,15798.0
2024-07-18,3,1,3,4,5599.0
2024-07-19,2,6,0,1,30094.0
2024-07-20,4,2,0,3,16398.0
2024-07-21,1,2,4,1,899.0
2024-07-22,2,2,0,3,13698.0
2024-07-23,5,5,2,2,26995.0
2024-07-24,2,3,4,2,-600.0
2024-07-25,2,6,1,1,27894.0
2024-07-26,2,4,4,0,13297.0
2024-07-27,1,5,2,3,16696.0
2024-07-28,3,3,6,2,12197.0
2024-07-29,1,4,5,3,27896.0
2024-07-30,2,4,2,3,26896.0
2024-07-31,2,4,1,2,20496.0
2024-08-01,3,0,4,5,-8099.0
2024-08-02,2,0,3,2,-2399.0
2024-08-03,3,5,3,1,29995.0
2024-08-04,2,2,0,1,4798.0
2024-08-05,5,1,3,2,7600.0
2024-08-06,2,2,2,2,8698.0
2024-08-07,3,5,3,0,25595.0
2024-08-08,3,1,3,2,-9999.0
2024-08-09,1,1,0,3,7799.0
2024-08-10,2,4,2,1,14997.0
2024-08-11,2,2,2,1,4499.0
2024-08-12,0,2,4,2,11198.0
2024-08-13,3,2,1,3,8998.0
2024-08-14,4,1,4,2,-4501.0
2024-08-15,3,2,1,0,8698.0
2024-08-16,7,2,4,3,-2101.0
2024-08-17,3,2,2,3,3399.0
2024-08-18,2,2,3,3,4399.0
2024-08-19,1,5,3,4,16597.0
2024-08-20,2,3,3,3,-2102.0
2024-08-21,4,5,1,2,30296.0
2024-08-22,2,5,2,3,13595.0
2024-08-23,2,3,3,2,5297.0
2024-08-24,3,0,5,3,-4599.0
2024-08-25,4,6,3,3,21295.0
2024-08-26,2,1,2,2,4199.0
2024-08-27,3,2,6,4,6498.0
2024-08-28,2,1,2,5,4599.0
2024-08-29,0,3,2,7,13297.0
2024-08-30,3,3,3,3,14598.0
2024-08-31,4,2,5,2,7399.0
2024-09-01,0,5,3,1,18895.0
2024-09-02,3,2,2,2,-3801.0
2024-09-03,3,0,3,4,-5599.0
2024-09-04,1,3,1,2,4998.0
2024-09-05,3,3,3,1,10997.0
2024-09-06,3,2,3,4,9798.0
2024-09-07,2,3,0,0,22397.0
2024-09-08,0,4,2,1,22196.0
2024-09-09,4,1,3,3,899.0
2024-09-10,4,1,2,2,8998.0
2024-09-11,2,6,3,2,20795.0
2024-09-12,2,2,5,2,14498.0
2024-09-13,2,5,2,2,23095.0
2024-09-14,2,4,2,2,10397.0
2024-09-15,3,6,1,1,32495.0
2024-09-16,3,2,1,4,-2701.0
2024-09-17,1,6,2,2,36794.0
2024-09-18,1,2,3,4,8899.0
2024-09-19,4,3,2,7,19797.0
2024-09-20,4,2,1,3,3998.0
2024-09-21,4,2,1,3,3399.0
2024-09-22,4,4,4,2,20498.0
2024-09-23,1,0,2,3,0.0
2024-09-24,4,5,2,5,19095.0
2024-09-25,4,0,1,2,9999.0
2024-09-26,3,1,1,3,8099.0
2024-09-27,2,3,6,1,19098.0
2024-09-28,2,2,2,3,8199.0
2024-09-29,3,5,1,2,30696.0
2024-09-30,2,1,3,2,13599.0
2024-10-01,1,1,3,3,6399.0
2024-10-02,2,4,2,0,10797.0
2024-10-03,1,5,1,1,16796.0
2024-10-04,2,3,0,3,11097.0
2024-10-05,4,4,1,4,21496.0
2024-10-06,0,3,3,2,18797.0
2024-10-07,3,5,2,2,27695.0
2024-10-08,3,4,0,5,31796.0
2024-10-09,1,5,7,2,27397.0
2024-10-10,4,1,1,7,1000.0
2024-10-11,7,1,1,0,1999.0
2024-10-12,5,3,1,1,7598.0
2024-10-13,1,2,2,1,5399.0
2024-10-14,3,1,4,1,0.0
2024-10-15,4,5,3,7,32595.0
2024-10-16,3,3,4,2,9298.0
2024-10-17,4,2,0,1,7598.0
2024-10-18,1,2,2,4,7998.0
2024-10-19,2,1,1,3,2399.0
2024-10-20,2,1,1,3,-4700.0
2024-10-21,1,3,2,1,15896.0
2024-10-22,2,0,3,2,0.0
2024-10-23,3,2,2,2,7099.0
2024-10-24,2,6,1,3,31594.0
2024-10-25,0,0,2,1,-5599.0
2024-10-26,3,4,2,3,25096.0
2024-10-27,3,4,1,1,21796.0
2024-10-28,5,3,5,4,16398.0
2024-10-29,3,3,3,4,13698.0
2024-10-30,4,4,3,1,10096.0
2024-10-31,3,4,1,2,18697.0
2024-11-01,7,1,6,2,16898.0
2024-11-02,3,0,2,3,0.0
2024-11-03,5,2,3,0,12700.0
2024-11-04,5,2,2,4,20097.0
2024-11-05,4,1,4,1,1900.0
2024-11-06,2,2,3,4,16597.0
2024-11-07,3,3,1,1,30196.0
2024-11-08,0,2,3,4,4599.0
2024-11-09,3,0,4,7,-8998.0
2024-11-10,3,4,4,1,1098.0
2024-11-11,2,4,6,0,3698.0
2024-11-12,1,2,2,4,18198.0
2024-11-13,1,4,0,2,17496.0
2024-11-14,2,3,2,4,17997.0
2024-11-15,2,2,2,3,17298.0
2024-11-16,0,2,4,1,5899.0
2024-11-17,2,5,4,6,19395.0
2024-11-18,0,2,2,4,-5700.0
2024-11-19,4,1,2,2,1500.0
2024-11-20,2,0,3,5,-21497.0
2024-11-21,3,5,2,6,33494.0
2024-11-22,4,5,2,0,24195.0
2024-11-23,3,4,2,2,31496.0
2024-11-24,1,3,2,4,7598.0
2024-11-25,3,3,4,2,20796.0
2024-11-26,1,1,1,6,6399.0
